country,Donation
Africa,"3,724"
Asia,"6,652"
Europe,729
North America,"5,811"
Oceania,4
South America,911
Unknown,47
Afghanistan,156
Albania,22
Algeria,6
Angola,35
Armenia,46
Azerbaijan,15
Bahrain,D
Bangladesh,131
Belarus,72
Bhutan,4
Bolivia,3
Bosnia-Herzegovina,6
Brazil,33
Bulgaria,12
Burkina Faso,42
Burma,43
Burundi,75
Cambodia,-
Cameroon,92
Central African Republic,14
Chad,9
"China, People's Republic","2,582"
Colombia,245
"Congo, Democratic Republic",64
"Congo, Republic",61
Cote d'Ivoire,38
Cuba,6
Djibouti,47
Dominican Republic,7
Ecuador,137
Egypt,"1,517"
El Salvador,"1,870"
Eritrea,245
Ethiopia,624
Fiji,4
Gambia,79
Georgia,22
Ghana,5
Guatemala,"1,713"
Guinea,60
Guyana,3
Haiti,353
Honduras,"1,109"
India,190
Indonesia,13
Iran,640
Iraq,711
Israel,D
Jamaica,41
Jordan,48
Kazakhstan,71
Kenya,55
Kosovo,51
Kuwait,14
Kyrgyzstan,101
Laos,D
Lebanon,23
Liberia,35
Libya,47
Macedonia,4
Madagascar,-
Malaysia,3
Mali,67
Mauritania,44
Mexico,667
Moldova,67
Mongolia,41
Morocco,9
Nepal,364
Nicaragua,31
Niger,3
Nigeria,95
Pakistan,273
Peru,18
Philippines,3
Romania,D
Russia,308
Rwanda,67
Saudi Arabia,39
Senegal,9
Serbia and Montenegro (former),16
Sierra Leone,12
Somalia,12
Sri Lanka,30
Sudan,100
Syria,873
Tajikistan,17
Tanzania,3
Togo,14
Turkey,17
Turkmenistan,10
Uganda,77
Ukraine,145
United Arab Emirates,15
Uzbekistan,66
Venezuela,470
Vietnam,12
Yemen,59
Zimbabwe,33
Other,84
Unknown,47
Total,"17,878"
